Caller id,Caller company,Receiver id,Receiver company,Timestamp,Duration s.
34661,Kompanija2,106187,Kompanija1,2020-12-31 20:45,104
39767,Kompanija2,45437,Kompanija2,2020-12-31 20:45,83
44193,Kompanija2,80443,Kompanija1,2020-12-31 20:45,84
47608,Kompanija2,42370,Kompanija2,2020-12-31 20:45,107
51444,Kompanija2,61569,Kompanija1,2020-12-31 20:45,550
43000,Kompanija2,45410,Kompanija1,2020-12-31 20:45,643
33032,Kompanija2,74797,Kompanija1,2020-12-31 20:45,40
30560,Kompanija2,59220,Kompanija2,2020-12-31 20:45,815
30560,Kompanija2,59224,Kompanija2,2020-12-31 20:45,525
41610,Kompanija2,52382,Kompanija2,2020-12-31 20:45,28
34165,Kompanija2,69071,Kompanija1,2020-12-31 20:45,586
58539,Kompanija2,42908,Kompanija2,2020-12-31 20:45,683
62584,Kompanija2,55860,Kompanija1,2020-12-31 20:45,380
56796,Kompanija2,69666,Kompanija1,2020-12-31 20:45,146
44358,Kompanija2,94309,Kompanija1,2020-12-31 20:45,764
53513,Kompanija2,62098,Kompanija2,2020-12-31 20:45,215
57798,Kompanija2,97549,Kompanija1,2020-12-31 20:45,341
43477,Kompanija2,58661,Kompanija2,2020-12-31 20:45,0
41281,Kompanija2,80012,Kompanija1,2020-12-31 20:45,1023
41413,Kompanija2,55860,Kompanija1,2020-12-31 20:45,437
66848,Kompanija2,70981,Kompanija1,2020-12-31 20:45,340
57711,Kompanija2,43911,Kompanija2,2020-12-31 20:45,614
52809,Kompanija1,32191,Kompanija2,2020-12-31 20:45,13
50880,Kompanija1,35930,Kompanija2,2020-12-31 20:45,540
61766,Kompanija1,52750,Kompanija1,2020-12-31 20:45,807
49904,Kompanija1,491659,9769,2020-12-31 20:45,59
46646,Kompanija1,86224,Kompanija1,2020-12-31 20:45,104
60622,Kompanija1,49423,Kompanija1,2020-12-31 20:45,13
65352,Kompanija1,47429,Kompanija1,2020-12-31 20:45,172
69139,Kompanija1,459064,4851,2020-12-31 20:45,722
50981,Kompanija1,78546,Kompanija1,2020-12-31 20:45,29
73312,Kompanija1,79836,Kompanija1,2020-12-31 20:45,341
55451,Kompanija1,51952,Kompanija2,2020-12-31 20:45,1818
82767,Kompanija1,35130,Kompanija2,2020-12-31 20:45,529
68760,Kompanija1,66691,Kompanija1,2020-12-31 20:45,2350
74777,Kompanija1,70981,Kompanija1,2020-12-31 20:45,372
62295,Kompanija1,37026,Kompanija2,2020-12-31 20:45,472
80133,Kompanija1,53029,Kompanija2,2020-12-31 20:45,2544
80907,Kompanija1,60917,Kompanija1,2020-12-31 20:45,511
63576,Kompanija1,68097,Kompanija1,2020-12-31 20:45,6
67711,Kompanija1,41893,Kompanija2,2020-12-31 20:45,256
88773,Kompanija1,30646,Kompanija2,2020-12-31 20:45,560
95858,Kompanija1,60864,Kompanija2,2020-12-31 20:45,357
78892,Kompanija1,83059,Kompanija1,2020-12-31 20:45,1529
92343,Kompanija1,36884,Kompanija2,2020-12-31 20:45,644
80443,Kompanija1,50249,Kompanija2,2020-12-31 20:45,1672
82282,Kompanija1,46081,Kompanija2,2020-12-31 20:45,212
76155,Kompanija1,67711,Kompanija1,2020-12-31 20:45,836
85620,Kompanija1,101244,Kompanija1,2020-12-31 20:45,4
98517,Kompanija1,56001,Kompanija1,2020-12-31 20:45,112
78617,Kompanija1,64005,Kompanija1,2020-12-31 20:45,39
82946,Kompanija1,63254,Kompanija1,2020-12-31 20:45,191
79910,Kompanija1,44326,Kompanija2,2020-12-31 20:45,518
85485,Kompanija1,40996,Kompanija2,2020-12-31 20:45,4153
80031,Kompanija1,42534,Kompanija1,2020-12-31 20:45,284
105301,Kompanija1,44138,Kompanija1,2020-12-31 20:45,221
45367,Kompanija2,51614,Kompanija2,2020-12-31 20:46,119
34661,Kompanija2,60026,Kompanija2,2020-12-31 20:46,882
34661,Kompanija2,67211,Kompanija1,2020-12-31 20:46,2520
26611,Kompanija2,63445,Kompanija2,2020-12-31 20:46,743
43810,Kompanija2,39159,Kompanija2,2020-12-31 20:46,307
53675,Kompanija2,83411,Kompanija1,2020-12-31 20:46,136
29342,Kompanija2,30646,Kompanija2,2020-12-31 20:46,113
29410,Kompanija2,56938,Kompanija1,2020-12-31 20:46,819
35955,Kompanija2,71267,Kompanija1,2020-12-31 20:46,91
39615,Kompanija2,73835,Kompanija1,2020-12-31 20:46,1636
54670,Kompanija2,76148,Kompanija1,2020-12-31 20:46,150
37767,Kompanija2,105301,Kompanija1,2020-12-31 20:46,599
36625,Kompanija2,75244,Kompanija1,2020-12-31 20:46,731
34005,Kompanija2,45981,Kompanija2,2020-12-31 20:46,490
58539,Kompanija2,45697,Kompanija2,2020-12-31 20:46,45
48348,Kompanija2,46748,Kompanija2,2020-12-31 20:46,54
37026,Kompanija2,72458,Kompanija1,2020-12-31 20:46,53
53895,Kompanija2,69002,Kompanija1,2020-12-31 20:46,190
62453,Kompanija1,24518,Kompanija2,2020-12-31 20:46,65
63010,Kompanija1,42414,Kompanija2,2020-12-31 20:46,28
66691,Kompanija1,55038,Kompanija2,2020-12-31 20:46,494
45651,Kompanija1,106187,Kompanija1,2020-12-31 20:46,166
69139,Kompanija1,60928,Kompanija1,2020-12-31 20:46,351
70649,Kompanija1,68084,Kompanija1,2020-12-31 20:46,189
68669,Kompanija1,83739,Kompanija1,2020-12-31 20:46,798
59297,Kompanija1,39087,Kompanija2,2020-12-31 20:46,489
52747,Kompanija1,65471,Kompanija1,2020-12-31 20:46,935
60299,Kompanija1,100400,Kompanija1,2020-12-31 20:46,236
80464,Kompanija1,56295,Kompanija2,2020-12-31 20:46,502
